"id","ticker","date","close_price","percentage_change"
1,"HSBA.L","2024-10-14",675.8,0.5
2,"HSBA.L","2024-10-14",675.8,0.5
3,"HSBA.L","2024-10-14",675.8,0.5
4,"HSBA.L","20016",680.6,0.38
5,"BP.L","20016",399.6,-0.1
6,"ULVR.L","20016",4831,-0.54
7,"BARC.L","20016",242.25,-1.16
8,"LLOY.L","20016",62.18,0.52
9,"HSBA.L","20016",680.6,0.38
10,"BP.L","20016",399.6,-0.1
11,"ULVR.L","20016",4831,-0.54
12,"BARC.L","20016",242.25,-1.16
13,"LLOY.L","20016",62.18,0.52
14,"HSBA.L","20016",680.6,0.38
15,"BP.L","20016",399.6,-0.1
16,"ULVR.L","20016",4831,-0.54
17,"BARC.L","20016",242.25,-1.16
18,"LLOY.L","20016",62.18,0.52
19,"HSBA.L","20016",680.6,0.38
20,"BP.L","20016",399.6,-0.1
21,"ULVR.L","20016",4831,-0.54
22,"BARC.L","20016",242.25,-1.16
23,"LLOY.L","20016",62.18,0.52
24,"HSBA.L","20016",680.6,0.38
25,"BP.L","20016",399.6,-0.1
26,"ULVR.L","20016",4831,-0.54
27,"BARC.L","20016",242.25,-1.16
28,"LLOY.L","20016",62.18,0.52
29,"HSBA.L","20016",680.6,0.38
30,"BP.L","20016",399.6,-0.1
31,"ULVR.L","20016",4831,-0.54
32,"BARC.L","20016",242.25,-1.16
33,"LLOY.L","20016",62.18,0.52
